date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:19	117/117	---MCZ	200	added ('OK')	text/plain	date:Wed,%2005%20Jun%202024%2017:41:25%20GMT	https://ramirosecco.com/robots.txt		(from )
14:41:19	29381/29381	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20Sep%202023%2020:41:38%20GMT	https://ramirosecco.com/	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/index.html	(from )
14:41:20	113381/113381	---MCZ	200	added ('OK')	text/css	etag:W/%22660ce9e6-1bae5%22	https://ramirosecco.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/wp-includes/css/dist/block-library/style.min9b30.css	(from https://ramirosecco.com/)
14:41:20	8147/8147	---MC-	200	added ('OK')	application/rss+xml	etag:%22136ef4c727ba6737e6298bee5f03bf53%22	https://ramirosecco.com/feed/	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/feed/index.html	(from https://ramirosecco.com/)
14:41:20	728/728	---MC-	200	added ('OK')	application/rss+xml	etag:%22136ef4c727ba6737e6298bee5f03bf53%22	https://ramirosecco.com/comments/feed/	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/comments/feed/index.html	(from https://ramirosecco.com/)
14:41:20	128196/128196	---MCZ	200	added ('OK')	text/css	etag:W/%2264f561a8-1f4c4%22	https://ramirosecco.com/wp-content/themes/seedlet/style.css?ver=1.2.9	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/wp-content/themes/seedlet/style077c.css	(from https://ramirosecco.com/)
14:41:21	14653/14653	---MCZ	200	added ('OK')	text/css	etag:W/%2264f561a8-393d%22	https://ramirosecco.com/wp-content/themes/seedlet/assets/css/style-navigation.css?ver=1.2.9	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/wp-content/themes/seedlet/assets/css/style-navigation077c.css	(from https://ramirosecco.com/)
14:41:21	3892/3892	---MCZ	200	added ('OK')	text/css	etag:W/%2264f561a8-f34%22	https://ramirosecco.com/wp-content/themes/seedlet/assets/css/print.css?ver=1.2.9	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/wp-content/themes/seedlet/assets/css/print077c.css	(from https://ramirosecco.com/)
14:41:21	130/130	---MCZ	200	added ('OK')	text/css	etag:W/%2264f561a8-82%22	https://ramirosecco.com/wp-content/themes/seedlet/assets/css/custom-color-overrides.css?ver=1.2.9	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/wp-content/themes/seedlet/assets/css/custom-color-overrides077c.css	(from https://ramirosecco.com/)
14:41:21	4823/4823	---MCZ	200	added ('OK')	text/css	etag:W/%2264f561a8-12d7%22	https://ramirosecco.com/wp-content/themes/blank-canvas/style.css?ver=6.3.1	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/wp-content/themes/blank-canvas/style9b30.css	(from https://ramirosecco.com/)
14:41:22	26557/26557	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2001:46:40%20GMT	https://ramirosecco.com/bitcoin-untitled-english/	C:/My%20Web%20Sites/ramirosecco.com/ramirosecco.com/bitcoin-untitled-english/index.html	(from https://ramirosecco.com/)
